"TechnologyArea","Name","IPAddress","MACAddress","Vuln ID","Severity","Group Title","Rule ID","STIG ID","Rule Title","Discussion","IA Controls","Check Content","Fix Text","False Positives","False Negatives","Documentable","Mitigations","Potential Impact","Third Party Tools","Mitigation Control","Responsibility","Severity Override Guidance","Check Content Reference","Classification","STIG","Status","Comments","Finding Details","Severity Override","Severity Override Justification","CCI","Fully Qualified Domain Name","NIST SP 800-53 Revision 4 References","Legacy",
"","","","","V-224819","high","SRG-OS-000480-GPOS-00227","SV-224819r569186_rule","WN16-00-000010","Users with Administrative privileges must have separate accounts for administrative duties and normal operational tasks.","Using a privileged account to perform routine functions makes the computer vulnerable to malicious software inadvertently introduced during a session that has been granted full privileges.","","Verify each user with administrative privileges has been assigned a unique administrative account separate from their standard user account. 

If users with administrative privileges do not have separate accounts for administrative functions and standard user functions, this is a finding.","Ensure each user with administrative privileges has a separate account for user duties and one for privileged duties.","","","false","","","","","","","M","Unclass","Microsoft Windows Server 2016 Security Technical Implementation Guide :: Version 2, Release: 6 Benchmark Date: 11 May 2023","Not Reviewed","","","","","CCI-000366
The organization implements the security configuration settings.
NIST SP 800-53 :: CM-6 b
NIST SP 800-53A :: CM-6.1 (iv)
NIST SP 800-53 Revision 4 :: CM-6 b

","","CM-6 b","V-73217; SV-87869",
"","","","","V-224820","medium","SRG-OS-000076-GPOS-00044","SV-224820r857224_rule","WN16-00-000030","Passwords for the built-in Administrator account must be changed at least every 60 days.","The longer a password is in use, the greater the opportunity for someone to gain unauthorized knowledge of the password. The built-in Administrator account is not generally used and its password not may be changed as frequently as necessary. Changing the password for the built-in Administrator account on a regular basis will limit its exposure.

It is highly recommended to use Microsoft's Local Administrator Password Solution (LAPS). Domain-joined systems can configure this to occur more frequently. LAPS will change the password every ""30"" days by default. The AO still has the overall authority to use another equivalent capability to accomplish the check.","","Review the password last set date for the built-in Administrator account.

Domain controllers:

Open ""PowerShell"".

Enter ""Get-ADUser -Filter * -Properties SID, PasswordLastSet | Where SID -Like ""*-500"" | Ft Name, SID, PasswordLastSet"".

If the ""PasswordLastSet"" date is greater than ""60"" days old, this is a finding.

Member servers and standalone or nondomain-joined systems:

Open ""Command Prompt"".

Enter 'Net User [account name] | Find /i ""Password Last Set""', where [account name] is the name of the built-in administrator account.

(The name of the built-in Administrator account must be changed to something other than ""Administrator"" per STIG requirements.)

If the ""PasswordLastSet"" date is greater than ""60"" days old, this is a finding.","Change the built-in Administrator account password at least every ""60"" days.

It is highly recommended to use Microsoft's LAPS, which may be used on domain-joined member servers to accomplish this. The AO still has the overall authority to use another equivalent capability to accomplish the check.","","","false","","","","","","","M","Unclass","Microsoft Windows Server 2016 Security Technical Implementation Guide :: Version 2, Release: 6 Benchmark Date: 11 May 2023","Not Reviewed","","","","","CCI-000199
The information system enforces maximum password lifetime restrictions.
NIST SP 800-53 :: IA-5 (1) (d)
NIST SP 800-53A :: IA-5 (1).1 (v)
NIST SP 800-53 Revision 4 :: IA-5 (1) (d)

","","IA-5 (1) (d)","V-73223; SV-87875",
"","","","","V-224821","high","SRG-OS-000480-GPOS-00227","SV-224821r569186_rule","WN16-00-000040","Administrative accounts must not be used with applications that access the Internet, such as web browsers, or with potential Internet sources, such as email.","Using applications that access the Internet or have potential Internet sources using administrative privileges exposes a system to compromise. If a flaw in an application is exploited while running as a privileged user, the entire system could be compromised. Web browsers and email are common attack vectors for introducing malicious code and must not be run with an administrative account.

Since administrative accounts may generally change or work around technical restrictions for running a web browser or other applications, it is essential that policy require administrative accounts to not access the Internet or use applications such as email.

The policy should define specific exceptions for local service administration. These exceptions may include HTTP(S)-based tools that are used for the administration of the local system, services, or attached devices.

Whitelisting can be used to enforce the policy to ensure compliance.","","Determine whether organization policy, at a minimum, prohibits administrative accounts from using applications that access the Internet, such as web browsers, or with potential Internet sources, such as email, except as necessary for local service administration.

If it does not, this is a finding.

The organization may use technical means such as whitelisting to prevent the use of browsers and mail applications to enforce this requirement.","Establish a policy, at minimum, to prohibit administrative accounts from using applications that access the Internet, such as web browsers, or with potential Internet sources, such as email. Ensure the policy is enforced.

The organization may use technical means such as whitelisting to prevent the use of browsers and mail applications to enforce this requirement.","","","false","","","","","","","M","Unclass","Microsoft Windows Server 2016 Security Technical Implementation Guide :: Version 2, Release: 6 Benchmark Date: 11 May 2023","Not Reviewed","","","","","CCI-000366
The organization implements the security configuration settings.
NIST SP 800-53 :: CM-6 b
NIST SP 800-53A :: CM-6.1 (iv)
NIST SP 800-53 Revision 4 :: CM-6 b

","","CM-6 b","V-73225; SV-87877",
"","","","","V-224822","medium","SRG-OS-000480-GPOS-00227","SV-224822r569186_rule","WN16-00-000050","Members of the Backup Operators group must have separate accounts for backup duties and normal operational tasks.","Backup Operators are able to read and write to any file in the system, regardless of the rights assigned to it. Backup and restore rights permit users to circumvent the file access restrictions present on NTFS disk drives for backup and restore purposes. Members of the Backup Operators group must have separate logon accounts for performing backup duties.","","If no accounts are members of the Backup Operators group, this is NA.

Verify users with accounts in the Backup Operators group have a separate user account for backup functions and for performing normal user tasks.

If users with accounts in the Backup Operators group do not have separate accounts for backup functions and standard user functions, this is a finding.","Ensure each member of the Backup Operators group has separate accounts for backup functions and standard user functions.","","","false","","","","","","","M","Unclass","Microsoft Windows Server 2016 Security Technical Implementation Guide :: Version 2, Release: 6 Benchmark Date: 11 May 2023","Not Reviewed","","","","","CCI-000366
The organization implements the security configuration settings.
NIST SP 800-53 :: CM-6 b
NIST SP 800-53A :: CM-6.1 (iv)
NIST SP 800-53 Revision 4 :: CM-6 b

","","CM-6 b","V-73227; SV-87879",
"","","","","V-224823","medium","SRG-OS-000078-GPOS-00046","SV-224823r569186_rule","WN16-00-000060","Manually managed application account passwords must be at least 15 characters in length.","Application/service account passwords must be of sufficient length to prevent being easily cracked. Application/service accounts that are manually managed must have passwords at least 15 characters in length.","","Determine if manually managed application/service accounts exist. If none exist, this is NA.

Verify the organization has a policy to ensure passwords for manually managed application/service accounts are at least 15 characters in length.

If such a policy does not exist or has not been implemented, this is a finding.","Establish a policy that requires application/service account passwords that are manually managed to be at least 15 characters in length. Ensure the policy is enforced.","","","false","","","","","","","M","Unclass","Microsoft Windows Server 2016 Security Technical Implementation Guide :: Version 2, Release: 6 Benchmark Date: 11 May 2023","Not Reviewed","","","","","CCI-000205
The information system enforces minimum password length.
NIST SP 800-53 :: IA-5 (1) (a)
NIST SP 800-53A :: IA-5 (1).1 (i)
NIST SP 800-53 Revision 4 :: IA-5 (1) (a)

","","IA-5 (1) (a)","V-73229; SV-87881",
"","","","","V-224824","medium","SRG-OS-000480-GPOS-00227","SV-224824r857226_rule","WN16-00-000070","Manually managed application account passwords must be changed at least annually or when a system administrator with knowledge of the password leaves the organization.","Setting application account passwords to expire may cause applications to stop functioning. However, not changing them on a regular basis exposes them to attack. If managed service accounts are used, this alleviates the need to manually change application account passwords.","","Determine if manually managed application/service accounts exist. If none exist, this is NA.

If passwords for manually managed application/service accounts are not changed at least annually or when an administrator with knowledge of the password leaves the organization, this is a finding.

Identify manually managed application/service accounts.

To determine the date a password was last changed:

Domain controllers:

Open ""PowerShell"".

Enter ""Get-AdUser -Identity [application account name] -Properties PasswordLastSet | FT Name, PasswordLastSet"", where [application account name] is the name of the manually managed application/service account.

If the ""PasswordLastSet"" date is more than one year old, this is a finding.

Member servers and standalone or nondomain-joined systems:

Open ""Command Prompt"".

Enter 'Net User [application account name] | Find /i ""Password Last Set""', where [application account name] is the name of the manually managed application/service account.

If the ""Password Last Set"" date is more than one year old, this is a finding.","Change passwords for manually managed application/service accounts at least annually or when an administrator with knowledge of the password leaves the organization.

It is recommended that system-managed service accounts be used whenever possible.","","","false","","","","","","","M","Unclass","Microsoft Windows Server 2016 Security Technical Implementation Guide :: Version 2, Release: 6 Benchmark Date: 11 May 2023","Not Reviewed","","","","","CCI-000366
The organization implements the security configuration settings.
NIST SP 800-53 :: CM-6 b
NIST SP 800-53A :: CM-6.1 (iv)
NIST SP 800-53 Revision 4 :: CM-6 b

","","CM-6 b","V-73231; SV-87883",
"","","","","V-224825","medium","SRG-OS-000104-GPOS-00051","SV-224825r569186_rule","WN16-00-000080","Shared user accounts must not be permitted on the system.","Shared accounts (accounts where two or more people log on with the same user identification) do not provide adequate identification and authentication. There is no way to provide for nonrepudiation or individual accountability for system access and resource usage.","","Determine whether any shared accounts exist. If no shared accounts exist, this is NA.

Shared accounts, such as required by an application, may be approved by the organization.  This must be documented with the ISSO. Documentation must include the reason for the account, who has access to the account, and how the risk of using the shared account is mitigated to include monitoring account activity.

If unapproved shared accounts exist, this is a finding.","Remove unapproved shared accounts from the system.

Document required shared accounts with the ISSO. Documentation must include the reason for the account, who has access to the account, and how the risk of using the shared account is mitigated to include monitoring account activity.","","","false","","","","","","","M","Unclass","Microsoft Windows Server 2016 Security Technical Implementation Guide :: Version 2, Release: 6 Benchmark Date: 11 May 2023","Not Reviewed","","","","","CCI-000764
The information system uniquely identifies and authenticates organizational users (or processes acting on behalf of organizational users).
NIST SP 800-53 :: IA-2
NIST SP 800-53A :: IA-2.1
NIST SP 800-53 Revision 4 :: IA-2

","","IA-2","V-73233; SV-87885",
"","","","","V-224826","medium","SRG-OS-000370-GPOS-00155","SV-224826r890501_rule","WN16-00-000090","Windows Server 2016 must employ a deny-all, permit-by-exception policy to allow the execution of authorized software programs.","Using an allowlist provides a configuration management method to allow the execution of only authorized software. Using only authorized software decreases risk by limiting the number of potential vulnerabilities.

The organization must identify authorized software programs and only permit execution of authorized software. The process used to identify software programs that are authorized to execute on organizational information systems is commonly referred to as allowlisting.","","Verify the operating system employs a deny-all, permit-by-exception policy to allow the execution of authorized software programs.

If an application allowlisting program is not in use on the system, this is a finding.

Configuration of allowlisting applications will vary by the program.

AppLocker is an allowlisting application built into Windows Server. A deny-by-default implementation is initiated by enabling any AppLocker rules within a category, only allowing what is specified by defined rules.

If AppLocker is used, perform the following to view the configuration of AppLocker:

Open ""PowerShell"".

If the AppLocker PowerShell module has not been imported previously, execute the following first:

Import-Module AppLocker

Execute the following command, substituting [c:\temp\file.xml] with a location and file name appropriate for the system:

Get-AppLockerPolicy -Effective -XML > c:\temp\file.xml

This will produce an xml file with the effective settings that can be viewed in a browser or opened in a program such as Excel for review.

Implementation guidance for AppLocker is available at the following link:

https://docs.microsoft.com/en-us/windows/security/threat-protection/windows-defender-application-control/applocker/applocker-policies-deployment-guide","Configure an application allowlisting program to employ a deny-all, permit-by-exception policy to allow the execution of authorized software programs.

Configuration of allowlisting applications will vary by the program. AppLocker is an allowlisting application built into Windows Server.

If AppLocker is used, it is configured through group policy in Computer Configuration >> Windows Settings >> Security Settings >> Application Control Policies >> AppLocker.

Implementation guidance for AppLocker is available at the following link:

https://docs.microsoft.com/en-us/windows/security/threat-protection/windows-defender-application-control/applocker/applocker-policies-deployment-guide","","","false","","","","","","","M","Unclass","Microsoft Windows Server 2016 Security Technical Implementation Guide :: Version 2, Release: 6 Benchmark Date: 11 May 2023","Not Reviewed","","","","","CCI-001774
The organization employs an deny-all, permit-by-exception policy to allow the execution of authorized software programs on the information system.
NIST SP 800-53 Revision 4 :: CM-7 (5) (b)

","","CM-7 (5) (b)","V-73235; SV-87887",
"","","","","V-224827","medium","SRG-OS-000480-GPOS-00227","SV-224827r902425_rule","WN16-00-000100","Windows Server 2016 domain-joined systems must have a Trusted Platform Module (TPM) enabled and ready for use.","Credential Guard uses virtualization-based security to protect data that could be used in credential theft attacks if compromised. A number of system requirements must be met for Credential Guard to be configured and enabled properly. Without a TPM enabled and ready for use, Credential Guard keys are stored in a less secure method using software.","","For standalone or nondomain-joined systems, this is NA.

Verify the system has a TPM and it is ready for use.

Run ""tpm.msc"".

Review the sections in the center pane.

""Status"" must indicate it has been configured with a message such as ""The TPM is ready for use"" or ""The TPM is on and ownership has been taken"".

TPM Manufacturer Information - Specific Version = 2.0 or 1.2

If a TPM is not found or is not ready for use, this is a finding.","Ensure domain-joined systems have a TPM that is configured for use. (Versions 2.0 or 1.2 support Credential Guard.)

The TPM must be enabled in the firmware.

Run ""tpm.msc"" for configuration options in Windows.","","","false","","","","","","","M","Unclass","Microsoft Windows Server 2016 Security Technical Implementation Guide :: Version 2, Release: 6 Benchmark Date: 11 May 2023","Not Reviewed","","","","","CCI-000366
The organization implements the security configuration settings.
NIST SP 800-53 :: CM-6 b
NIST SP 800-53A :: CM-6.1 (iv)
NIST SP 800-53 Revision 4 :: CM-6 b

","","CM-6 b","V-73237; SV-87889",
"","","","","V-224828","high","SRG-OS-000480-GPOS-00227","SV-224828r569186_rule","WN16-00-000110","Systems must be maintained at a supported servicing level.","Systems at unsupported servicing levels will not receive security updates for new vulnerabilities, which leave them subject to exploitation. Systems must be maintained at a servicing level supported by the vendor with new security updates.","","Open ""Command Prompt"".

Enter ""winver.exe"".

If the ""About Windows"" dialog box does not display ""Microsoft Windows Server Version 1607 (Build 14393.xxx)"" or greater, this is a finding.

Preview versions must not be used in a production environment.","Update the system to a Version 1607 (Build 14393.xxx) or greater.","","","false","","","","","","","M","Unclass","Microsoft Windows Server 2016 Security Technical Implementation Guide :: Version 2, Release: 6 Benchmark Date: 11 May 2023","Not Reviewed","","","","","CCI-000366
The organization implements the security configuration settings.
NIST SP 800-53 :: CM-6 b
NIST SP 800-53A :: CM-6.1 (iv)
NIST SP 800-53 Revision 4 :: CM-6 b

","","CM-6 b","V-73239; SV-87891",
